Date,Symbol,Close
3/14/2017,INTU,124.31
3/15/2017,INTU,124.67
3/16/2017,INTU,124.35
3/17/2017,INTU,123.92
3/20/2017,INTU,123.4
3/21/2017,INTU,121.05
3/22/2017,INTU,121.12
3/23/2017,INTU,119.99
3/24/2017,INTU,119.72
3/27/2017,INTU,118.45
3/28/2017,INTU,118
3/29/2017,INTU,117.88
3/30/2017,INTU,115.62
3/31/2017,INTU,115.99
4/3/2017,INTU,116.17
4/4/2017,INTU,116.03
4/5/2017,INTU,116.55
4/6/2017,INTU,117.81
4/7/2017,INTU,118.46
4/10/2017,INTU,118.62
4/11/2017,INTU,118.68
4/12/2017,INTU,117.83
4/13/2017,INTU,117.89
4/17/2017,INTU,118.64
4/18/2017,INTU,119.35
4/19/2017,INTU,118.97
4/20/2017,INTU,118.27
4/21/2017,INTU,118.36
4/24/2017,INTU,118.76
4/25/2017,INTU,119.08
4/26/2017,INTU,115.81
4/27/2017,INTU,125.61
4/28/2017,INTU,125.21
5/1/2017,INTU,125.52
5/2/2017,INTU,125.91
5/3/2017,INTU,125.6
5/4/2017,INTU,125.95
5/5/2017,INTU,126.14
5/8/2017,INTU,126.17
5/9/2017,INTU,126.73
5/10/2017,INTU,127.09
5/11/2017,INTU,126.88
5/12/2017,INTU,126.51
5/15/2017,INTU,127.63
5/16/2017,INTU,127.5
5/17/2017,INTU,125.35
5/18/2017,INTU,125.15
5/19/2017,INTU,125.38
5/22/2017,INTU,127.16
5/23/2017,INTU,129.15
5/24/2017,INTU,137.83
5/25/2017,INTU,138.36
5/26/2017,INTU,138.56
5/30/2017,INTU,140.05
5/31/2017,INTU,140.64
6/1/2017,INTU,141.33
6/2/2017,INTU,142.81
6/5/2017,INTU,142.65
6/6/2017,INTU,141.63
6/7/2017,INTU,141.97
6/8/2017,INTU,142.71
6/9/2017,INTU,140.21
6/12/2017,INTU,139.74
6/13/2017,INTU,139.88
6/14/2017,INTU,140.19
6/15/2017,INTU,140
6/16/2017,INTU,139.49
6/19/2017,INTU,140.75
6/20/2017,INTU,140.17
6/21/2017,INTU,140.25
6/22/2017,INTU,139.99
6/23/2017,INTU,140.4
6/26/2017,INTU,138.4
6/27/2017,INTU,135.29
6/28/2017,INTU,135.37
6/29/2017,INTU,133.1
6/30/2017,INTU,132.81
7/3/2017,INTU,131.68
7/5/2017,INTU,131.98
7/6/2017,INTU,131.1
